"ID","Player","Team","Position","Rookie","RkOv","Status","Age","Opponent","Salary","Contract","Score","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*04ewt*","Derrick White","BOS","PG,SG,G","","2","FA","32","@DET Tue 12:00PM","1,000,000","MIN","98.93",".394","2.7",".902","16.5","4.4","5.4","1.1","1.3","1.7"
"*04ewf*","Bam Adebayo","MIA","PF,F,C","","7","FA","29","","1,000,000","MIN","95.86",".442","1.7",".778","20.1","10.0","3.2","1.2","0.7","1.6"
"*04qrn*","Mikal Bridges","NY","SG,G,SF,PF,F","","12","FA","30","PHI Tue 4:00PM","1,000,000","MIN","94.09",".490","1.9",".827","14.4","3.8","3.7","1.3","0.8","1.0"
"*04ewe*","Donovan Mitchell","CLE","PG,SG,G","","16","FA","29","","1,000,000","MIN","92.6",".483","3.2",".865","27.9","4.5","5.7","1.5","0.3","2.8"
"*06212*","Jabari Smith","HOU","SF,PF,F,C","","19","FA","23","","1,000,000","MIN","92.09",".450","2.3",".775","15.8","6.9","1.9","0.7","0.9","1.4"
"*01eo6*","James Harden","CLE","PG,SG,G","","25","FA","37","","1,000,000","MIN","90.98",".434","3.1",".884","23.6","4.8","8.0","1.1","0.4","3.5"
"*06211*","Chet Holmgren","OKC","PF,F,C","","37","FA","24","@SA Tue 6:30PM","1,000,000","MIN","88.51",".557","1.3",".792","17.1","8.9","1.7","0.6","1.9","1.6"
"*04qru*","Donte DiVincenzo","MIN","PG,SG,G","","42","FA","29","","1,000,000","MIN","88.15",".406","3.0",".743","12.2","4.1","3.8","1.3","0.4","1.4"
"*04qrp*","Miles Bridges","PHO","SF,PF,F","","43","FA","28","","1,000,000","MIN","87.65",".460","1.9",".822","17.1","5.8","3.2","0.6","0.4","1.4"
"*031lx*","CJ McCollum","ATL","PG,SG,G","","50","FA","34","","1,000,000","MIN","86.47",".455","2.5",".772","18.7","3.3","3.9","0.8","0.5","1.8"
"*05qt0*","Saddiq Bey","NO","SF,PF,F","","51","FA","27","","1,000,000","MIN","86.3",".451","2.1",".841","17.7","5.6","2.5","0.9","0.1","0.9"
