"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*05uif*","PG","Jalen Suggs","ORL","PG,G","Act","25","","28,000,000","2029","57",".435","2.1",".855","13.8","3.9","5.5","1.8","0.7","2.7"
"*06v58*","SG","Tre Johnson","WAS","PG,SG,G","Act","20","","7,000,000","1RK29","60",".419","1.9",".874","12.2","2.8","2.0","0.6","0.3","1.6"
"*06mkb*","G","Ja'Kobe Walter","TOR","PG,SG,G","Act","22","","2,500,000","1RK28","72",".446","1.5",".789","7.5","2.6","1.2","1.0","0.2","0.5"
"*06mjt*","SF","Zaccharie Risacher","DAL","SF,F","Act","21","","4,500,000","1RK28","67",".455","1.4",".644","9.6","3.8","1.1","0.9","0.5","0.9"
"*01uyj*","PF","Paul George","BOS","SF,PF,F","Act","36","@DET Tue 12:00PM","20,500,000","2027","37",".439","2.7",".820","17.3","5.3","3.6","1.7","0.4","1.7"
"*06cdh*","F","GG Jackson","MEM","SF,PF,F","Act","21","","2,500,000","2RK28","55",".496","1.2",".742","12.5","4.3","1.5","0.6","0.8","1.5"
"*06v5e*","C","Yang Hansen","POR","C","Act","21","","3,500,000","1RK29","43",".310","0.1",".824","2.2","1.5","0.5","0.1","0.2","0.7"
"*06mk8*","Flx","Jared McCain","OKC","SG,G","Act","22","@SA Tue 6:30PM","2,500,000","1RK28","67",".425","1.5",".864","8.3","2.0","1.3","0.5","0.1","0.8"
"*06mkh*","SG","Pacome Dadiet","NY","SG,G","Min","21","PHI Tue 4:00PM","1,500,000","2RK29","29",".333","0.2",".818","1.7","0.9","0.4","0.1","0.0","0.1"
"*076u7*","SG","Otega Oweh","OKC","SG,G","Min","23","@SA Tue 6:30PM","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*076tu*","C","Felix Okpara","WAS","C","Min","22","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"

