"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*04qrk*","PG","Trae Young","WAS","PG,G","Act","27","","41,000,000","2029","15",".458","1.8",".825","17.9","2.0","8.0","0.9","0.1","2.6"
"*051pa*","SG","Kevin Porter","MIL","PG,SG,G","Act","26","","8,500,000","2027","38",".465","1.2",".878","17.4","5.2","7.4","2.2","0.5","2.9"
"*05qt3*","G","Desmond Bane","ORL","SG,G,SF,F","Act","28","","30,500,000","2028","82",".484","2.0",".908","20.1","4.1","4.1","1.0","0.5","2.0"
"*05qsl*","SF","Patrick Williams","CHI","SF,PF,F","Act","25","","5,000,000","2027","72",".372","1.3",".720","7.0","3.0","1.5","0.7","0.4","1.0"
"*076t0*","PF","Caleb Wilson","CHI","PF,F","Act","20","","10,000,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*076vc*","F","Cameron Boozer","MEM","PF,F","Act","19","","12,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*06v5q*","C","Danny Wolf","BKN","PF,F,C","Act","22","","2,500,000","1RK29","57",".405","1.2",".771","8.9","4.9","2.2","0.5","0.6","1.3"
"*06ccg*","PG","Marcus Sasser","DAL","PG,G","Res","25","","2,500,000","2RK28","38",".390","1.2",".833","5.2","1.0","2.0","0.5","0.1","0.8"
"*06v8a*","SG","Brooks Barnhizer","OKC","SG,G","Res","24","@SA Tue 6:30PM","1,000,000","2RK30","40",".380","0.2",".700","1.7","1.9","0.6","0.3","0.1","0.3"
"*06vy3*","SG","Caleb Love","PHI","PG,SG,G","Res","24","@NY Tue 4:00PM","1,000,000","2RK30","49",".388","1.9",".735","10.4","2.3","2.5","0.6","0.1","1.3"
"*0529c*","PF","Dean Wade","PHI","PF,F","Res","29","@NY Tue 4:00PM","2,000,000","2027","59",".439","1.2",".711","5.8","4.2","1.5","0.7","0.4","0.3"
"*076tc*","Flx","Keaton Wagler","LAC","SG,G","Min","19","","7,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"

