"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*06mjw*","PG","Stephon Castle","SA","PG,SG,G","Act","21","OKC Tue 6:30PM","9,000,000","1RK28","68",".471","1.2",".734","16.7","5.3","7.4","1.1","0.3","3.2"
"*05uiz*","SG","Quentin Grimes","LAL","SG,G,SF,F","Act","26","","18,500,000","2027","75",".450","1.7",".840","13.4","3.6","3.3","0.9","0.4","1.8"
"*0623m*","G","Keon Ellis","BKN","PG,SG,G","Act","26","","10,500,000","2028","72",".440","1.3",".729","6.7","1.9","1.0","1.2","0.6","0.6"
"*051p0*","SF","Matisse Thybulle","LAL","SG,G,SF,F","Act","29","","6,000,000","2028","30",".433","1.2",".840","5.8","2.0","0.9","2.0","0.5","0.9"
"*049kc*","Flx","Malik Monk","SAC","PG,SG,G","Act","28","","19,000,000","2027","62",".438","2.0",".879","12.5","1.9","3.0","0.6","0.4","1.5"
"*05qtq*","G","Tre Jones","CHI","PG,G","Res","26","","10,000,000","2027","65",".553","0.6",".841","14.1","3.1","5.4","1.2","0.2","1.4"
"*05uis*","PG","Tre Mann","WAS","PG,G","Res","25","","2,000,000","2028","53",".360","0.9",".852","5.5","1.7","1.6","0.5","0.1","1.0"
"*05uja*","Flx","Miles McBride","NY","PG,SG,G","Res","25","PHI Tue 4:00PM","5,000,000","2027","41",".423","2.7",".787","12.0","2.4","2.6","0.9","0.2","0.8"
"*06mkf*","SG","AJ Johnson","MEM","PG,SG,G","Min","21","","1,500,000","2RK29","48",".324","0.3",".850","3.3","1.1","1.0","0.2","0.1","0.6"
"*06v89*","Flx","Jamir Watkins","WAS","SG,G,SF,F","Min","25","","1,000,000","2RK30","50",".446","0.9",".695","7.4","3.9","1.3","1.1","0.5","0.8"
"*06v8b*","C","Rocco Zikarsky","MIN","C","Min","20","","1,000,000","2RK30","5",".625","0.0","1.000","2.8","2.8","0.4","0.0","1.0","0.2"

