"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*06v8g*","PG","Kobe Sanders","LAC","SG,G,SF,F","Act","24","","1,000,000","2RK30","68",".466","1.2",".826","7.3","2.3","1.6","0.7","0.1","1.2"
"*051p8*","SG","Jordan Poole","NO","PG,SG,G","Act","27","","27,500,000","2028","39",".372","2.5",".860","13.4","2.0","3.1","0.6","0.4","1.8"
"*05qsp*","G","Isaiah Joe","DET","PG,SG,G","Act","27","BOS Tue 12:00PM","6,000,000","2027","71",".455","2.5",".894","11.1","2.5","1.3","0.7","0.2","0.6"
"*0558t*","SF","Max Strus","LAC","SG,G,SF,F","Act","30","","4,000,000","2027","12",".443","2.8",".778","11.2","5.4","2.0","0.3","0.0","0.8"
"*06v5c*","PF","Asa Newell","ATL","PF,F","Act","20","","3,000,000","1RK29","44",".538","0.7",".552","5.2","2.2","0.6","0.4","0.3","0.5"
"*051or*","F","Cameron Johnson","DEN","SF,PF,F","Act","30","","26,000,000","2028","54",".480","2.0",".839","12.2","3.8","2.4","0.7","0.4","0.9"
"*042nm*","C","Pascal Siakam","IND","SF,PF,F,C","Act","32","","30,000,000","2027","62",".484","1.7",".693","24.0","6.6","3.8","1.1","0.4","2.2"
"*076ta*","Flx","AJ Dybantsa","WAS","SF,F","Act","19","","11,000,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*076sy*","F","Morez Johnson","DAL","PF,F","Min","20","","4,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*076tw*","F","Nick Martinelli","LAC","SF,PF,F","Min","22","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*076su*","C","Aday Mara","OKC","C","Min","21","@SA Tue 6:30PM","4,000,000","1RK30","0","0","0","0","0","0","0","0","0","0"

