"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*06cdn*","PG","Scoot Henderson","POR","PG,G","Act","22","","13,000,000","1RK27","30",".418","1.9",".840","14.2","2.7","3.7","0.9","0.3","2.4"
"*051p9*","SG","Keldon Johnson","SA","SG,G,SF,F","Act","26","OKC Tue 6:30PM","15,500,000","2028","82",".519","1.2",".794","13.2","5.4","1.4","0.6","0.1","0.9"
"*05ujt*","G","Aaron Wiggins","ATL","SG,G,SF,F","Act","27","","11,000,000","2028","65",".431","1.5",".736","9.4","3.1","1.7","0.9","0.4","1.2"
"*02ng3*","SF","Khris Middleton","WAS","SF,PF,F","Act","35","","6,500,000","2027","63",".420","1.1",".875","10.2","3.7","2.8","0.7","0.1","1.7"
"*06mk3*","PF","Matas Buzelis","CHI","SF,PF,F","Act","21","","5,500,000","1RK28","77",".463","2.2",".786","16.3","5.8","2.1","0.7","1.5","2.1"
"*03aq2*","F","Jerami Grant","MEM","SF,PF,F","Act","32","","12,000,000","2028","57",".453","2.4",".814","18.6","3.5","2.1","0.7","0.6","2.1"
"*05uiw*","C","Isaiah Jackson","LAC","C","Act","24","","12,500,000","2029","55",".637","0.0",".648","6.7","5.3","0.9","0.7","0.9","1.1"
"*03e6n*","Flx","Jusuf Nurkic","UTA","C","Act","32","","5,500,000","2027","41",".503","0.6",".549","10.9","10.4","4.8","1.3","0.5","2.5"
"*06v86*","SF","Micah Peavy","NO","SG,G,SF,PF,F","Res","25","","1,000,000","2RK30","61",".385","0.5",".759","4.3","1.9","1.0","0.7","0.1","0.3"
"*03e75*","C","Nikola Jokic","DEN","C","Res","31","","60,000,000","2027","65",".569","1.7",".831","27.7","12.9","10.7","1.4","0.8","3.7"
"*076sz*","PG","Sergio De Larrea","DAL","PG,G","Min","20","","3,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*076uk*","PG","Ja'Kobi Gillespie","SA","PG,G","Min","22","OKC Tue 6:30PM","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*06mm5*","C","PJ Hall","CHA","C","Min","24","","1,500,000","2RK29","19",".508","0.2",".793","4.5","3.9","0.5","0.2","0.5","0.8"

