"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*06v5l*","PG","Cooper Flagg","DAL","PG,SG,G,SF,F","Act","19","","12,000,000","1RK29","70",".468","1.0",".827","21.0","6.7","4.5","1.2","0.9","2.3"
"*05qtj*","SG","Deni Avdija","POR","SG,G,SF,PF,F","Act","25","","15,000,000","2028","66",".462","1.9",".802","24.2","6.9","6.7","0.8","0.6","3.8"
"*06mkg*","G","Kyshawn George","WAS","SG,G,SF,PF,F","Act","22","","2,000,000","1RK28","48",".438","2.1",".802","14.8","5.1","4.5","1.0","0.9","2.6"
"*02xg9*","C","Rudy Gobert","MIN","C","Act","34","","30,000,000","2027","76",".682","0.0",".526","10.9","11.5","1.7","0.8","1.6","1.4"
"*04qse*","Flx","Gary Trent","MIL","SG,G,SF,F","Res","27","","10,000,000","2028","65",".387","1.9",".769","8.1","1.0","1.2","0.5","0.0","0.6"
"*06v5m*","Flx","Joan Beringer","MIN","PF,F,C","Res","19","","3,000,000","1RK29","40",".663","0.0",".703","3.9","2.3","0.3","0.2","0.7","0.3"
"*06v5x*","F","Carter Bryant","SA","SF,PF,F","Res","20","OKC Tue 6:30PM","5,000,000","1RK29","71",".408","0.7",".714","4.2","2.5","0.7","0.2","0.3","0.5"
"*076te*","PG","Kingston Flemings","ATL","PG,G","Min","19","","5,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*076sv*","Flx","Bennett Stirtz","OKC","PG,G","Min","22","@SA Tue 6:30PM","3,000,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*076ti*","PF","Hannes Steinbach","CHA","PF,F","Min","20","","5,000,000","1RK30","0","0","0","0","0","0","0","0","0","0"

