"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*05uij*","PG","Davion Mitchell","MIA","PG,G","Act","28","","10,500,000","2029","70",".490","1.3",".646","9.3","2.7","6.5","1.0","0.2","1.5"
"*05qzh*","SG","Naji Marshall","DAL","SG,G,SF,PF,F","Act","28","","6,500,000","2028","74",".510","0.8",".760","15.2","4.7","3.3","1.1","0.1","1.6"
"*02ym0*","SF","Andrew Wiggins","MIA","SG,G,SF,F","Act","31","","12,500,000","2027","68",".475","2.0",".784","15.4","4.8","2.7","1.1","1.0","1.5"
"*051op*","F","Rui Hachimura","LAC","PF,F","Act","28","","10,000,000","2027","68",".514","1.7",".694","11.5","3.3","0.8","0.6","0.3","0.6"
"*03ad3*","C","Karl-Anthony Towns","NY","PF,F,C","Act","30","PHI Tue 4:00PM","32,000,000","2028","75",".501","1.5",".858","20.1","11.9","3.0","0.9","0.5","2.5"
"*06mly*","Flx","Quinten Post","MEM","C","Act","26","","1,500,000","2RK29","67",".440","1.4",".791","7.7","4.0","1.4","0.4","0.5","0.8"
"*01enh*","PG","Stephen Curry","GS","PG,G","Res","38","","40,000,000","2027","43",".468","4.4",".923","26.6","3.6","4.7","1.1","0.4","2.8"
"*06v84*","SG","Kam Jones","MIL","PG,SG,G","Res","24","","1,000,000","2RK30","37",".402","0.6",".500","4.4","1.6","3.2","0.5","0.0","1.0"
"*06mka*","SF","Tristan da Silva","ORL","SF,PF,F","Res","25","","3,000,000","1RK28","77",".450","1.6",".884","9.9","3.7","1.6","0.9","0.3","0.9"
"*076ty*","SF","Baba Miller","LAC","SF,F","Res","22","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"

