"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*042n4*","PG","Jamal Murray","DEN","PG,SG,G","Act","29","","26,000,000","2028","75",".483","3.3",".887","25.4","4.4","7.1","0.9","0.4","2.3"
"*06234*","SG","AJ Green","MIL","PG,SG,G,SF,F","Act","26","","2,500,000","2028","78",".424","3.0",".855","10.4","2.7","1.9","0.5","0.1","1.0"
"*06cbx*","G","Jaime Jaquez","MIL","SG,G,SF,PF,F","Act","25","","5,000,000","1RK27","75",".507","0.8",".769","15.4","5.0","4.7","0.7","0.3","2.0"
"*062dn*","SF","Julian Champagnie","SA","SF,PF,F","Act","25","OKC Tue 6:30PM","5,000,000","2027","82",".437","2.4",".844","11.1","5.8","1.5","0.8","0.5","0.8"
"*03ajv*","PF","Julius Randle","BKN","PF,F","Act","31","","20,500,000","2027","79",".481","1.4",".802","21.1","6.7","5.0","1.1","0.2","2.7"
"*03nwn*","F","Bobby Portis","MIA","PF,F,C","Act","31","","13,000,000","2028","67",".488","2.0",".706","13.7","6.4","1.6","0.6","0.2","1.0"
"*04qrl*","C","Wendell Carter","ORL","C","Act","27","","18,000,000","2027","78",".512","0.9",".792","11.8","7.4","2.0","0.8","0.6","1.3"
"*05uii*","Flx","Franz Wagner","ORL","SF,PF,F","Act","25","","35,000,000","2029","34",".481","1.4",".823","20.6","5.2","3.3","0.9","0.3","1.7"
"*06cc8*","C","Dereck Lively","DAL","C","IR","22","","6,500,000","1RK27","7",".611","0.0",".800","4.3","5.3","1.9","0.6","1.6","1.4"
"*06v56*","PG","Walter Clayton","MEM","PG,G","Min","23","","3,500,000","1RK29","69",".384","1.1",".901","7.8","2.0","4.0","0.6","0.3","1.7"
"*076sw*","G","Labaron Philon","PHI","PG,G","Min","20","@NY Tue 4:00PM","4,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"

