"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*06v5g*","PG","Jeremiah Fears","NO","PG,G","Act","19","","5,500,000","1RK29","82",".434","1.2",".789","14.3","3.7","3.4","1.2","0.4","2.2"
"*06v5d*","SG","Hugo Gonzalez","BOS","SG,G,SF,PF,F","Act","20","@DET Tue 12:00PM","1,000,000","2RK30","74",".476","0.6",".500","3.9","3.3","0.5","0.6","0.3","0.5"
"*02nf6*","G","Damian Lillard","POR","PG,G","Act","36","","11,500,000","2027","0","0","0","0","0","0","0","0","0","0"
"*03xmv*","SF","Jayson Tatum","BOS","SF,PF,F","Act","28","@DET Tue 12:00PM","38,000,000","2029","16",".411","2.9",".823","21.8","10.0","5.3","1.4","0.2","2.4"
"*05uiu*","PF","Jalen Johnson","ATL","SF,PF,F","Act","24","","39,000,000","2028","72",".489","1.7",".788","22.5","10.3","7.9","1.2","0.4","3.4"
"*06mk1*","C","Zach Edey","MEM","C","Act","24","","8,500,000","1RK28","11",".633","0.1",".781","13.6","11.1","1.1","0.6","1.9","2.4"
"*06v5f*","Flx","Khaman Maluach","PHO","C","Act","19","","6,500,000","1RK29","46",".533","0.1",".710","3.0","2.9","0.1","0.1","0.7","0.5"
"*076tk*","PG","Mikel Brown","BKN","PG,G","Res","20","","6,000,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*06mln*","C","Adem Bona","PHI","C","Res","23","@NY Tue 4:00PM","1,500,000","2RK29","71",".595","0.0",".708","4.8","4.3","0.5","0.4","1.2","0.8"
"*076tz*","PF","Trevon Brazile","DEN","PF,F","Min","23","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*076tf*","F","Chris Cenac","BOS","PF,F","Min","19","@DET Tue 12:00PM","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*06v8d*","PF","Bogoljub Markovic","MIL","PF,F","Min","21","","1,000,000","2RK30","0","0","0","0","0","0","0","0","0","0"

