"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*076tr*","PG","Jack Kayil","NY","PG,G","Act","0","PHI Tue 4:00PM","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*06v7z*","G","Sion James","CHA","SG,G,SF,F","Act","23","","1,000,000","2RK30","82",".371","1.0",".837","5.4","3.5","2.0","0.6","0.2","0.8"
"*06z7t*","SF","Arthur Kaluma","LAL","SF,PF,F","Act","24","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*076ul*","PF","Maliq Brown","SA","PF,F","Act","22","OKC Tue 6:30PM","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*06v5v*","F","Cedric Coward","MEM","SG,G,SF,F","Act","22","","5,000,000","1RK29","62",".471","1.5",".843","13.6","5.9","2.8","0.6","0.4","1.7"
"*05uid*","Flx","Evan Mobley","CLE","PF,F,C","Act","25","","46,500,000","2028","65",".546","1.0",".606","18.2","9.0","3.6","0.7","1.7","1.9"
"*04azw*","Flx","Lauri Markkanen","UTA","SF,PF,F","Res","29","","38,000,000","2027","42",".477","2.7",".896","26.7","6.9","2.1","1.0","0.5","1.5"
"*06v85*","Flx","Alijah Martin","TOR","SG,G","Min","24","","1,000,000","2RK30","23",".320","0.2",".789","2.2","0.9","0.5","0.3","0.2","0.3"
"*06v82*","SF","Adou Thiero","LAL","SF,PF,F","Min","22","","1,000,000","2RK30","25",".516","0.0",".636","1.9","1.1","0.4","0.3","0.1","0.4"

