"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*04qsm*","PG","De'Anthony Melton","GS","PG,SG,G","Act","28","","4,500,000","2029","49",".407","1.5",".826","12.3","3.2","2.6","1.6","0.4","1.9"
"*06mkm*","SG","Baylor Scheierman","BOS","SG,G,SF,F","Act","25","@DET Tue 12:00PM","1,500,000","2RK29","77",".453","1.3",".903","5.5","3.5","1.5","0.5","0.1","0.6"
"*03ams*","G","Zach LaVine","SAC","SG,G,SF,F","Act","31","","25,000,000","2027","39",".479","2.5",".880","19.2","2.8","2.3","0.7","0.3","1.9"
"*05uj9*","SF","Herbert Jones","NO","SG,G,SF,PF,F","Act","27","","20,000,000","2029","56",".383","1.4",".806","8.9","3.4","2.8","1.6","0.5","1.3"
"*04qrr*","PF","Michael Porter","BKN","SF,PF,F","Act","28","","18,500,000","2028","52",".463","3.4",".859","24.2","7.1","3.0","1.1","0.3","2.3"
"*06mle*","F","Kyle Filipowski","UTA","PF,F,C","Act","22","","3,000,000","1RK28","77",".492","1.0",".750","11.4","7.2","2.6","0.9","0.5","1.6"
"*04ex6*","C","Isaiah Hartenstein","OKC","C","Act","28","@SA Tue 6:30PM","26,000,000","2027","47",".622","0.0",".610","9.2","9.4","3.5","1.0","0.8","1.7"
"*05qub*","Flx","Isaiah Stewart","MEM","PF,F,C","Act","25","","11,000,000","2027","58",".550","0.7",".756","10.0","5.0","1.1","0.3","1.6","1.2"
"*01eo9*","PG","Jrue Holiday","POR","PG,SG,G","Res","36","","12,500,000","2027","53",".451","2.6",".838","16.3","4.6","6.1","1.0","0.1","2.8"
"*04848*","PG","Fred VanVleet","HOU","PG,G","Res","32","","22,000,000","2027","0","0","0","0","0","0","0","0","0","0"

