"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*051ps*","PG","Terance Mann","BKN","PG,SG,G,SF,F","Act","29","","5,500,000","2027","63",".458","0.9",".787","7.2","3.2","3.0","0.7","0.2","1.1"
"*04kj6*","SG","Luka Doncic","LAL","PG,SG,G","Act","27","","62,000,000","2029","64",".476","4.0",".780","33.5","7.7","8.3","1.6","0.5","4.0"
"*049ka*","G","Lonzo Ball","(N/A)","PG,G","Act","28","","7,000,000","2027","35",".301","1.1",".667","4.6","4.0","3.9","1.3","0.3","1.5"
"*0622a*","SF","Vince Williams","(N/A)","PG,SG,G,SF,F","Act","26","","12,000,000","2028","40",".353","1.4",".780","7.5","3.9","4.2","0.7","0.4","1.8"
"*06v8c*","F","Amari Williams","BOS","PF,F,C","Act","24","@DET Tue 12:00PM","1,000,000","2RK30","22",".500","0.0",".714","1.4","1.8","0.5","0.1","0.5","0.5"
"*076ut*","C","Carson Cooper","MEM","C","Act","22","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*06ccy*","Flx","Jalen Pickett","LAC","PG,SG,G","Act","26","","2,500,000","2RK28","50",".422","1.0",".789","5.2","2.3","2.3","0.3","0.1","0.7"
"*06mk6*","PG","Carlton Carrington","WAS","PG,G","Res","21","","4,000,000","1RK28","82",".424","2.1",".730","10.7","3.4","4.6","0.6","0.2","2.3"
"*06mk5*","PG","Devin Carter","ATL","PG,G","Res","24","","5,000,000","1RK28","38",".414","0.8",".713","8.9","3.3","2.7","0.9","0.2","1.4"
"*076um*","PG","Quadir Copeland","HOU","PG,G","Res","23","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*076t9*","SG","Darryn Peterson","UTA","SG,G","Res","19","","9,000,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*06v80*","C","Ryan Kalkbrenner","CHA","C","Res","24","","2,500,000","1RK29","69",".753","0.0",".716","7.6","5.5","0.8","0.5","1.5","0.9"
"*076u3*","PG","Bruce Thornton","HOU","PG,G","Min","22","","2,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*06mk4*","PG","Nikola Topic","OKC","PG,G","Min","21","@SA Tue 6:30PM","4,000,000","1RK28","10",".431","0.6",".400","5.2","1.9","4.4","0.5","0.0","2.5"
"*06mki*","F","Dillon Jones","NY","SF,F","Min","24","PHI Tue 4:00PM","2,000,000","1RK28","7",".222","0.1","1.000","1.3","1.0","0.6","0.4","0.0","0.0"

