"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*051on*","PG","Coby White","CHA","PG,SG,G","Act","26","","27,000,000","2027","50",".446","2.3",".817","17.4","3.4","4.0","0.5","0.1","2.6"
"*05qug*","SG","Anthony Edwards","MIN","SG,G,SF,F","Act","25","","51,000,000","2028","61",".489","3.4",".796","28.8","5.0","3.7","1.4","0.8","2.9"
"*042n1*","SF","Brandon Ingram","TOR","SG,G,SF,PF,F","Act","29","","23,500,000","2029","77",".477","1.8",".820","21.5","5.6","3.7","0.8","0.7","2.4"
"*03nwk*","F","Kelly Oubre Jr.","IND","SF,PF,F","Act","30","","11,000,000","2027","50",".467","1.7",".766","14.1","5.0","1.6","1.4","0.5","1.4"
"*06mlm*","C","Oso Ighodaro","PHO","PF,F,C","Act","24","","1,500,000","2RK29","82",".653","0.0",".453","6.5","5.1","2.3","0.9","0.7","1.2"
"*06caa*","SG","Ben Sheppard","IND","SG,G,SF,F","Res","25","","2,500,000","2RK28","65",".434","1.3",".765","7.1","3.0","1.8","0.6","0.1","0.6"
"*06v5b*","PF","Yanic Konan Niederhauser","LAC","SF,PF,F,C","IR","23","","1,000,000","2RK30","41",".640","0.0",".758","4.3","2.9","0.3","0.1","0.7","0.6"
"*076tq*","Flx","Ryan Conwell","MIA","SG,G","Min","22","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*06vxq*","SG","Jahmai Mashack","MEM","SG,G,SF,F","Min","23","","1,000,000","2RK30","31",".395","0.6",".543","6.2","2.6","2.2","1.2","0.5","1.6"
"*06v5s*","SG","Drake Powell","BKN","SG,G,SF,PF,F","Min","20","","1,000,000","2RK30","63",".402","0.8",".896","6.5","1.8","1.4","0.6","0.2","1.0"

