"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*06mlk*","PG","Ajay Mitchell","OKC","PG,SG,G,SF,F","Act","24","@SA Tue 6:30PM","1,500,000","2RK29","57",".485","1.1",".870","13.6","3.3","3.6","1.2","0.3","1.4"
"*04ewu*","SG","Josh Hart","NY","SG,G,SF,F","Act","31","PHI Tue 4:00PM","25,000,000","2027","66",".508","1.5",".720","12.0","7.4","4.8","1.1","0.3","1.9"
"*05uus*","G","Austin Reaves","LAL","PG,SG,G,SF,F","Act","28","","32,000,000","2029","51",".490","2.3",".871","23.3","4.7","5.5","1.1","0.4","3.0"
"*06228*","SF","Josh Minott","BKN","SF,PF,F,C","Act","23","","3,500,000","2RK27","49",".500","1.3",".787","7.4","3.2","0.9","0.9","0.5","0.9"
"*06cbz*","PF","Brice Sensabaugh","UTA","SF,PF,F","Act","22","","5,000,000","1RK27","75",".460","2.2",".826","14.9","3.1","1.9","0.7","0.2","1.7"
"*05qsx*","F","Obi Toppin","IND","PF,F,C","Act","28","","8,500,000","2028","24",".503","1.5",".913","11.6","4.4","2.3","0.5","0.0","1.2"
"*0622f*","C","Karlo Matkovic","NO","PF,F,C","Act","25","","1,500,000","2RK29","62",".604","0.6",".732","5.7","3.7","0.8","0.4","0.9","0.5"
"*042nt*","Flx","Ivica Zubac","IND","C","Act","29","","28,500,000","2028","48",".598","0.0",".711","14.1","10.6","2.2","0.4","0.8","1.8"
"*06cp4*","PG","Craig Porter","CLE","PG,G","Res","26","","2,500,000","2RK28","64",".450","0.5",".600","4.5","3.4","3.2","0.9","0.6","0.9"
"*06v8f*","PG","Tyrese Proctor","CLE","PG,G","Res","22","","1,000,000","2RK30","50",".413","0.9",".889","5.4","1.3","1.5","0.5","0.0","0.8"
"*06v7y*","SF","Noah Penda","ORL","SF,F","Res","21","","2,500,000","1RK29","59",".404","0.5",".688","3.8","3.2","1.2","0.5","0.3","0.7"
"*076tj*","Flx","Joshua Jefferson","BKN","PF,F","Min","22","","2,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*06v5i*","C","Thomas Sorber","OKC","PF,F,C","Min","20","@SA Tue 6:30PM","4,000,000","1RK29","0","0","0","0","0","0","0","0","0","0"
"*076u1*","C","Henri Veesaar","ATL","C","Min","22","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"

