"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*04qro*","PG","Shai Gilgeous-Alexander","OKC","PG,G","Act","28","@SA Tue 6:30PM","56,000,000","2027","68",".553","1.7",".879","31.1","4.3","6.6","1.4","0.8","2.2"
"*06mjv*","SG","Reed Sheppard","HOU","PG,SG,G","Act","22","","10,000,000","1RK28","82",".430","2.8",".802","13.5","2.9","3.4","1.5","0.7","1.5"
"*05uig*","G","Josh Giddey","CHI","PG,SG,G","Act","23","","38,500,000","2029","54",".448","1.9",".763","17.0","8.3","9.1","1.0","0.5","3.6"
"*051oj*","SF","RJ Barrett","TOR","SG,G,SF,PF,F","Act","26","","25,500,000","2029","57",".491","1.7",".717","19.3","5.3","3.3","0.7","0.3","1.7"
"*076ug*","PF","Malique Lewis","MIL","PF,F","Act","21","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*076t5*","F","Alex Karaban","SAC","SF,F","Act","23","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*02nf9*","C","Andre Drummond","NY","C","Act","33","PHI Tue 4:00PM","2,000,000","2028","63",".472","0.5",".631","6.4","8.4","1.3","0.6","0.8","1.0"
"*06cby*","Flx","Keyonte George","UTA","PG,G","Act","22","","7,000,000","1RK27","54",".456","2.5",".892","23.6","3.7","6.1","1.1","0.3","3.1"
"*06mk2*","SG","Cody Williams","MIN","SG,G","Res","21","","3,500,000","1RK28","67",".468","0.4",".706","8.8","3.0","2.0","0.8","0.4","1.1"
"*076tg*","Flx","Koa Peat","PHO","PF,F","Res","19","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*06ccv*","C","Trayce Jackson-Davis","TOR","C","Res","26","","2,500,000","2RK28","53",".573","0.0",".514","3.4","2.7","0.7","0.3","0.5","0.4"
"*06ccz*","F","Mouhamed Gueye","ATL","PF,F","IR","23","","1,500,000","2029","77",".452","0.5",".645","4.4","3.6","0.9","0.8","0.5","0.4"
"*06v5r*","PG","Egor Demin","BKN","PG,G","Min","20","","6,000,000","1RK29","52",".399","2.4",".831","10.3","3.2","3.3","0.8","0.3","1.7"
"*06mm1*","Flx","Bronny James","LAL","PG,SG,G","Min","21","","1,500,000","2RK29","42",".409","0.5",".857","2.9","0.5","1.2","0.5","0.1","0.6"
"*076tt*","C","Ugonna Onyenso","DET","C","Min","21","BOS Tue 12:00PM","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"

